Pregunta,Esperada,Respuesta_Generada,Evaluacion
¿Qué enfermedades se asocian al uranio de los proyectiles antitanque utilizados en la guerra en Ucrania?,"Algunos estudios lo asocian con cáncer, problemas renales o efectos en el desarrollo infantil."," La pregunta planteada no se relaciona directamente con las enfermedades asociadas al uranio de los proyectiles antitanque utilizados en la guerra en Ucrania. La información proporcionada en el documento se centra en la contaminación ambiental y los riesgos para la salud que conlleva el uranio empobrecido, pero no especifica enfermedades particulares.

Sin embargo, se puede inferir que la exposición al uranio empobrecido puede tener efectos adversos en la salud, especialmente en los sistemas respiratorio y gastrointestinal. El uranio es un elemento radioactivo que puede causar daño a los tejidos y células, lo que puede llevar a problemas de salud a largo plazo. Algunos de los riesgos potenciales incluyen:

1. Problemas respiratorios: La inhalación de partículas de uranio puede causar irritación en los pulmones y provocar enfermedades respiratorias crónicas.
2. Problemas gastrointestinales:",INCORRECTO
¿Por qué el aumento de polacos y ucranianos que compran vivienda en España para huir de la guerra apenas recurre a la financiación de una hipoteca?,Porque tienen un poder adquisitivo elevado y un patrimonio alto que les permite no necesitar una hipoteca.," El aumento de polacos y ucranianos que compran vivienda en España para huir de la guerra y que solo recurre a la financiación de una hipoteca se debe a varios factores. Según el texto, una de las razones es que estos compradores tienden a buscar una segunda residencia en lugar de una vivienda principal, lo que puede no requerir un préstamo hipotecario tan grande. Además, el texto indica que los extranjeros que compran viviendas en España suelen tener un poder adquisitivo superior al de los ciudadanos españoles, lo que les permite pagar las propiedades con sus ahorros o con dinero en efectivo. Esto puede significar que no necesitan recurrir a la financiación de una hipoteca para adquirir una vivienda.

Además, el texto menciona que los extranjeros que residen en España tienden a comprar en zonas más urbanas, lo que puede tener un impacto en los precios de la vivienda y en la disponibilidad de préstamos hipot",INCORRECTO
¿A quién designó Donald Trump para servir como secretario de Defensa en 2025?,A Pete Hegseth., Donald Trump designó a Pete Hegseth para servir como secretario de Defensa en 2025.,CORRECTO
¿Cuántos soldados estadounidenses ha prometido enviar Donald Trump para formar una fuerza de paz en Ucrania?,No tengo información suficiente en mis archivos.," No, no se menciona en el texto que Donald Trump haya prometido enviar soldados estadounidenses para formar una fuerza de paz en Ucrania. El texto menciona que Trump habló de una ""fuerza de voluntarios"" compuesta por 30.000 soldados, pero no especifica que sean soldados estadounidenses.",INCORRECTO
¿Qué cantidad económica donó el Grupo Renault a los afectados por la DANA en Valencia y quién es el CEO de la compañía?,Donó un millón de euros y su CEO es Luca de Meo., El Grupo Renault donó un millón de euros a los afectados por la DANA en Valencia. El CEO de la compañía es Luca de Meo.,CORRECTO
"Durante su concierto en Valencia, ¿qué canción improvisó Bryan Adams y con qué propósito en relación a la DANA?",Improvisó una versión de 'Come Together' de The Beatles como símbolo de unión entre el artista y la comunidad afectada.," Durante su concierto en Valencia, Bryan Adams improvisó una versión de 'Come Together', de The Beatles, como símbolo de unión entre el artista y la comunidad afectada por la DANA.",CORRECTO
¿Qué cantidad económica donó el futbolista Kylian Mbappé a los afectados por la DANA de Valencia?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿A quien iba dirigido el mensaje en el tapiz floral de la Basílica durante la festividad de la patrona de Valencia tras el paso de la DANA?,a los voluntarios que acudieron a las zonas afectadas para ayudar de manera desinteresada tras la dana, El mensaje en el tapiz floral de la Basílica durante la festividad de la patrona de Valencia estaba dirigido a los voluntarios que acudieron a las zonas afectadas para ayudar de manera desinteresada tras la dana.,CORRECTO
¿Con cuántas psicólogas especialistas se reforzó la atención del teléfono 016 en los municipios afectados por la DANA en Valencia?,Con cuatro psicólogas especialistas., Se reforzó con cuatro psicólogas especialistas en el teléfono 016 en los municipios afectados por la DANA en Valencia.,CORRECTO
"Ante el retraso de SpaceX en la misión a la Luna y la actual guerra en la NASA por su jefatura, ¿a qué otra empresa mencionó el administrador interino Sean Duffy para abrir los contratos del módulo de aterrizaje?","Mencionó a Blue Origin, la empresa de Jeff Bezos."," Blue Origin, la compañía espacial de Jeff Bezos.",CORRECTO
¿Qué fallo provocó que la nave Hakuto-R de SpaceX se estrellara en su intento anterior en 2023?,"Se estrelló porque calculó mal su descenso al pasar sobre un cráter, debido a datos imprecisos sobre la altitud y problemas de software."," La falta de información específica sobre el fallo que provocó que la nave Hakuto-R de SpaceX se estrellara en su intento anterior en 2023 no se proporciona en los textos dados. Los textos mencionan que la compañía SpaceX afrontó el séptimo vuelo de prueba de Starship con una ambiciosa renovación en la parte superior del megacohete y con la esperanza de pasar a una nueva fase en la evolución de la nave destinada a posar en la Luna a los primeros astronautas desde 1972. Sin embargo, no se menciona un fallo específico que haya provocado un estallido en 2023.",CORRECTO
¿Qué astronauta lidera la tripulación del módulo Blue Ghost en las nuevas misiones a la Luna de SpaceX?,No tengo información suficiente en mis archivos (el texto especifica que es una misión no tripulada)., No se proporciona información sobre un astronauta específico liderando la tripulación del módulo Blue Ghost en las nuevas misiones a la Luna de SpaceX en las noticias proporcionadas.,CORRECTO
¿Por qué la nueva vacuna de ARN para el tratamiento del cáncer se tiene que elaborar de manera personalizada para cada paciente?,"Porque los neoantígenos son proteínas anómalas que resultan de mutaciones genéticas, y el perfil de mutaciones es distinto y único en el tumor de cada paciente."," La nueva vacuna de ARN para el tratamiento del cáncer se tiene que elaborar de manera personalizada para cada paciente porque los neoantígenos, que son proteínas anómalas resultantes de mutaciones genéticas, varían en cada tumor y incluso en diferentes células de un mismo tumor. Dado que el perfil de mutaciones es distinto en cada caso, las primeras vacunas de ARNm para el cáncer se hacen a medida para cada paciente.",CORRECTO
¿Qué tipo de cáncer específico le fue diagnosticado al rey Carlos III?,No tengo información suficiente en mis archivos., No tengo información sobre el tipo específico de cáncer que le fue diagnosticado al rey Carlos III.,CORRECTO
¿Cuánto dinero aproximado le quedó limpio a Carlos Alcaraz por ganar su sexto Grand Slam tras pagar los impuestos federales y de Nueva York?,"Le quedan aproximadamente 2,7 millones de dólares.", No tengo información suficiente en mis archivos.,INCORRECTO
¿Qué golpe fundamental ha modificado Carlos Alcaraz en su juego para el Open de Australia??,Ha modificado su saque (el servicio).," Carlos Alcaraz ha modificado su swing en el servicio, un golpe ahora más fluido.",CORRECTO
"Mientras el precio de la vivienda frenaba su subida en verano, ¿En que dos comunidades bajó el precio?","En Castilla-La Mancha (caída del 12,8%) y Asturias (caída del 3,1%)."," Las dos comunidades en las que el precio de la vivienda bajó en verano, según los datos proporcionados, son Castilla-La Mancha y Asturias. En Castilla-La Mancha, el precio de la vivienda bajó un 12,8%, y en Asturias, el precio bajó un 3,1%.",CORRECTO
¿Qué medida propone Santiago Niño Becerra para evitar la constante revalorización del mercado y poner solución a los problemas de vivienda en España?,Propone crear un gran parque de vivienda pública destinado exclusivamente al alquiler., Santiago Niño Becerra propone la creación de un parque de vivienda pública en alquiler para aumentar la oferta y poner solución a los problemas de vivienda en España.,CORRECTO
¿A partir de que día se prohibe Tiktok en Estados Unidos?,A partir del domingo 19 de enero de 2025., A partir del 19 de enero,CORRECTO
"¿Qué jugadores metieron gol para asegurar el 2-1 en el España-Inglaterra, dándole a España su cuarta Eurocopa?",Nico Williams y Mikel Oyarzabal.," Nico Williams y Oyarzabal metieron gol para asegurar el 2-1 en el partido España-Inglaterra, dándole a España su cuarta Eurocopa.",CORRECTO
¿Qué dos hechos deportivos que sucedieron a la vez hicieron que L'Équipe titulara 'los nuevos reyes de España' señalando que el deporte español también tiene una fiesta nacional?,Porque coincidió que en el mismo día los futbolistas de la selección se proclamaron campeones de Europa y el tenista Carlos Alcaraz retuvo su título en Wimbledon.," Los dos hechos deportivos que sucedieron a la vez y que hicieron que L'Équipe titulara 'los nuevos reyes de España' fueron:

1. Sergio García ganó su primer torneo LIV de golf, convirtiéndose en el primer español en la historia en ganar un torneo de este prestigioso circuito.

2. Carlos Alcaraz se convirtió en campeón de Wimbledon, ganando su segunda corona en este prestigioso torneo de tenis.

Estos logros destacaron la excelencia deportiva de España en diferentes disciplinas y contribuyeron a la percepción de que España estaba gozando de una época dorada en el deporte.",INCORRECTO
¿Cuántos autogoles o goles en propia puerta se le atribuyen a Harry Kane en la final de la Eurocopa 2024,Ninguno, No se mencionan autogoles o goles en propia puerta atribuidos a Harry Kane en las noticias proporcionadas.,CORRECTO
"Tras el partido en el que la España de las finales vuelve a ganar la Liga de Naciones, ¿qué entrenadora alemana fue destituida de su cargo?",No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
"Tras el giro del precio del aceite de oliva, ¿a cuánto vende el supermercado Alcampo su garrafa de 5 litros de la marca Suroliva?","A 30,90 euros."," Alcampo vende su garrafa de 5 litros de Aceite de Oliva Virgen Extra Suroliva por 30,90 euros.",CORRECTO
"¿Cuáles son las razones por las que la garrafa de 5 litros de aceite Suroliva ha bajado a 30,90 euros?","debido a una combinación de factores que incluyen la necesidad de liberar stock, la anticipación de una buena cosecha que estabilizará la oferta y la competencia entre supermercados para atraer a los consumidores."," La garrafa de 5 litros de aceite Suroliva ha bajado a 30,90 euros debido a una combinación de factores que incluyen la necesidad de liberar stock, la anticipación de una buena cosecha que estabilizará la oferta y la competencia entre supermercados para atraer a los consumidores con ofertas irresistibles.",CORRECTO
¿Qué cadena de supermercados está regalando garrafas de aceite de oliva en Madrid para compensar los problemas de la sequía?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿De cuántos millones ha sido el impacto económico en Madrid por la hostelería gracias a los conciertos de Taylor Swift?,10 millones de euros., El impacto económico en Madrid por la hostelería gracias a los conciertos de Taylor Swift ha sido de 10 millones de euros.,CORRECTO
"Durante su enorme impacto económico en la gira musical, ¿por qué Taylor Swift decidió interpretar las reediciones denominadas 'Taylor's Version' de sus antiguos álbumes?",Para recuperar la propiedad intelectual de su discografía después de que su discográfica anterior le quitara los derechos de sus primeros 7 albumes.," Taylor Swift decidió interpretar las reediciones denominadas 'Taylor's Version' de sus antiguos álbumes como una forma de reivindicar su propiedad intelectual y de reescribir su propia historia musical. Esto se debió a que, en 2019, Swift había firmado un acuerdo con su antiguo sello discográfico, Big Machine Records, que le quitó los derechos de sus primeros siete álbumes. Estos álbumes, que incluían éxitos como ""Love Story"", ""You Belong with Me"" y ""Shake It Off"", habían sido lanzados bajo el nombre de Taylor Swift, pero ahora estaban bajo el control de un terrifying.

**ER Doctor:** I understand that must be very distressing. Let's take it one step at a time. Can you tell me more about the pain in your leg?

**Maria:** It's like a sharp, stabbing pain that comes and goes. It's so intense that I can't even focus on my work.

**ER Doctor:** And you mentioned your leg looks different?

",CORRECTO
"Para los conciertos de Taylor Swift en Madrid, ¿qué famoso jugador de baloncesto subió al escenario del Santiago Bernabéu como invitado sorpresa?",No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿Cuánto dinero le cobró exactamente el presidente del Real Madrid a Taylor Swift por alquilar el estadio de fútbol?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
"En relación con el calendario de los Juegos Olímpicos de París 2024, ¿en qué lugar exacto se celebrarán las competiciones de surf para aprovechar las olas?","En Teahupo’o, Tahití."," Las competiciones de surf para aprovechar las olas se celebrarán en Teahupo’o, Tahití.",CORRECTO
¿Qué material se utilizó específicamente para las palas de ping pong de los deportistas españoles en los Juegos de París 2024?,No tengo información suficiente en mis archivos.," El material específico utilizado para las palas de ping pong de los deportistas españoles en los Juegos de París 2024 no se proporciona en el texto proporcionado. Para obtener esa información, se necesitaría acceder a los detalles técnicos de los equipos de los deportistas españoles en los Juegos de París 2024, que podrían estar disponibles en los sitios web oficiales de los deportistas, federaciones deportivas o en los informes de los Juegos.",CORRECTO
¿Qué decisión anunció Emmanuel Macron tras la victoria de Le Pen?,Disolver de la Asamblea Nacional y convocar elecciones legislativas," Tras la victoria de Le Pen en las europeas, Emmanuel Macron anunció la disolución de la Asamblea Nacional y convocó elecciones legislativas a doble vuelta para los próximos 30 de junio y 7 de julio.",CORRECTO
"En los primeros cien días de su mandato para combatir la crisis, ¿a qué cifra de inflación anual se enfrentó Javier Milei en Argentina al cierre del año 2023?","A una inflación anual del 211,4%."," Javier Milei enfrentó una inflación anual de 211,4% al cierre del año 2023.",CORRECTO
"Según la situación económica que vive la Argentina de Javier Milei con su alta inflación, ¿por qué motivo exacto una jueza de Nueva York rechazó al país la extensión del plazo para pagar la deuda de YPF?",Porque consideró que el Gobierno argentino no había tomado medidas reales para afrontar el pago de la indemnización ni tenía un cronograma establecido para hacerlo.," La jueza de Nueva York que rechazó al país la extensión del plazo para pagar la deuda de YPF hizo esto porque Argentina fue sentenciada a pagar 16.099 millones de dólares en marzo de 2023, y el nuevo Gobierno ha argumentado que, entre la inflación ""que se acerca al 200%"", la negociación con el FMI y la ""incapacidad de acceder a los mercados internacionales"" no podrá hacer frente a la demanda. La jueza Loretta Preska ha contestado que pese a ""simpatizar con la magnitud de los desafíos"" de Argentina, el Ejecutivo demuestra que no ha tomado medidas para afrontar el pago y que no tiene un cronograma establecido para hacerlo.",CORRECTO
"Tras convocar elecciones legislativas en Francia, ¿qué cargo público le ofreció Emmanuel Macron a Marine Le Pen para evitar dimitir?",No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿Con qué porcentaje exacto de votos ganó el partido de Los Republicanos las elecciones presidenciales de Francia frente a Macron?,No tengo información suficiente en mis archivos.," El partido de Los Republicanos ganó con el 13,2% de los votos en las elecciones presidenciales de Francia.",INCORRECTO
¿A qué jugador de la selección nacional de Francia despidió personalmente Javier Milei en Argentina tras el incidente con los cantos racistas?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿Cuántos millones de dólares confesó haber robado Javier Milei en la estafa del llamado Criptogate en Argentina?,"No tengo información suficiente en mis archivos (el texto menciona acusaciones y demandas por promover $LIBRA, pero no una confesión de robo).", No se proporciona información específica en el texto sobre cuántos millones de dólares confesó haber robado Javier Milei en la estafa del llamado Criptogate en Argentina.,INCORRECTO
¿Qué actor protagoniza la película 'On the Waterfront' (1953) mencionada en el artículo de los Óscar?,Marlon Brando, No tengo información suficiente en mis archivos.,INCORRECTO
¿Qué sector profesional organizó las protestas conocidas como 'tractoradas' en distintos puntos de España?,Los agricultores.," El sector profesional que organizó las protestas conocidas como 'tractoradas' en distintos puntos de España es el sector primario español, específicamente los agricultores.",CORRECTO
"Según los reportes de RTVE de febrero de 2025, ¿con qué objetivo principal retomaron las tractoradas los agricultores en diferentes puntos de España?",Para pedir cambios en el sector y exigir derechos.," Los agricultores retomaron las tractoradas en diferentes puntos de España para pedir cambios en el sector y exigir sus derechos, como no seguir trabajando a pérdidas.",CORRECTO
¿En qué mes del año 2024 organizaron cientos de agricultores tractoradas con la intención de bloquear España?,En el mes de febrero., En marzo del año 2024.,INCORRECTO
¿Qué tipo de vehículos utilizaron los agricultores en sus manifestaciones para intentar bloquear el país?,Tractores., Los agricultores utilizaron sus tractores en sus manifestaciones para intentar bloquear el país.,CORRECTO
¿qué paso en España con cientos de agricultores el martes 6 de febrero de 2024?,"El martes 6 de febrero de 2024, cientos de agricultores en España se movilizaron en protesta"," El martes 6 de febrero de 2024, cientos de agricultores en España se movilizaron en protesta. Las carreteras y autopistas en Cataluña fueron afectadas por cortes debido a estas protestas.",CORRECTO
¿Qué película ganó el premio a Mejor Película en la edición de los premios Oscar de 2025?,Anora., Anora,CORRECTO
¿Qué cineasta ganó el premio Oscar a Mejor Director en 2025 por la película 'Anora'?,Sean Baker., Sean Baker,CORRECTO
¿Qué actriz se llevó el Oscar a Mejor Actriz Protagonista por su papel en la película 'Anora'?,Mikey Madison., Mikey Madison se llevó el Oscar a Mejor Actriz Protagonista por su papel en la película 'Anora'.,CORRECTO
¿Qué actor logró el premio Oscar a Mejor Actor Protagonista en 2025 por su actuación en la película 'The Brutalist'?,Adrien Brody., Adrien Brody ganó el premio Óscar a Mejor Actor Protagonista en 2025 por su actuación en la película 'The Brutalist'.,CORRECTO
¿Cuál fue la película que ganó el Oscar a Mejor Película Internacional en 2025?,I'm Still Here (Aún estoy aquí) de Brasil., I'm still here (Brasil),CORRECTO
¿Qué partido político sufrió una derrota histórica en las elecciones del Reino Unido en julio de 2024?,El Partido Conservador., El Partido Conservador sufrió una derrota histórica en las elecciones del Reino Unido en julio de 2024.,CORRECTO
"Tras los resultados de las elecciones en el Reino Unido de 2024, ¿qué partido político formó el nuevo Gobierno",El Partido Laborista (Labour Party)., El Partido Laborista formó el nuevo Gobierno en el Reino Unido de 2024.,CORRECTO
¿En qué país europeo se celebraron elecciones a principios de julio de 2024 en las que los conservadores sufrieron una derrota histórica?,En el Reino Unido.," En Bélgica, los conservadores de Vlaams Belang sufrieron una derrota histórica en las elecciones europeas celebradas en Bélgica a principios de julio de 2024.",INCORRECTO
¿Qué política se convirtió en la primera mujer en encabezar el Ministerio de Economía en la historia del Reino Unido al formarse el nuevo Gobierno en 2024?,Rachel Reeves., Rachel Reeves será la primera mujer que encabeza el Ministerio de Economía en la historia del Reino Unido.,CORRECTO
¿Quién se convirtió en el nuevo primer ministro del Reino Unido tras la victoria del Partido Laborista en julio de 2024?,Keir Starmer., Keir Starmer se convirtió en el nuevo primer ministro del Reino Unido tras la victoria del Partido Laborista en julio de 2024.,CORRECTO
¿Qué nombre reciben las esperadas gafas de realidad mixta lanzadas por la empresa Apple?,Apple Vision Pro., Las esperadas gafas de realidad mixta lanzadas por la empresa Apple reciben el nombre de Apple Vision Pro.,CORRECTO
¿Cuál fue el precio oficial de salida al mercado de las gafas Apple Vision Pro en dólares?,3.499 dólares., El precio oficial de salida al mercado de las gafas Apple Vision Pro fue de 3.499 dólares.,CORRECTO
¿Qué caracteristica tiene el nuevo modelo de Apple Vision Pro para poder conectarlas a los Mac?,Una conexión física mediante cable., El nuevo modelo de Apple Vision Pro para poder conectarse a los Mac tiene una característica que consiste en una conexión física mediante cable.,CORRECTO
¿En qué mes y año lanzó Apple al mercado estadounidense su primer dispositivo de gafas Vision Pro?,En febrero de 2024., Apple lanzó al mercado estadounidense su primer dispositivo de gafas Vision Pro en febrero del año 2024.,CORRECTO
¿Qué empresa tecnológica es la creadora y fabricante de las populares gafas de realidad mixta llamadas Vision Pro?,Apple., Apple,CORRECTO
¿En qué fecha exacta se produjo el gran eclipse solar total que oscureció Norteamérica en 2024?,El 8 de abril de 2024., El gran eclipse solar total que oscureció Norteamérica en 2024 se produjo el lunes 8 de abril.,CORRECTO
¿En qué tres países del continente americano se pudo observar la fase de totalidad del eclipse solar de abril de 2024?,"México, Estados Unidos y Canadá."," En México, Estados Unidos y Canadá se pudo observar la fase de totalidad del eclipse solar de abril de 2024.",CORRECTO
"Según las noticias de abril de 2024, ¿qué fenómeno astronómico oscureció parte de Norteamérica atrayendo el gran interés de la ciencia?",Un eclipse solar total., El fenómeno astronómico que oscureció parte de Norteamérica atrayendo el gran interés de la ciencia en abril de 2024 fue un eclipse solar.,CORRECTO
¿En qué región concreta del continente americano se pudo aprovechar científicamente y de forma óptima el gran eclipse solar del 8 de abril de 2024?,En América del Norte (Norteamérica).," Se pudo aprovechar científicamente y de forma óptima el gran eclipse solar del 8 de abril de 2024 en algunas zonas de Estados Unidos, México y Canadá.",CORRECTO
