Pregunta;Respuesta_Esperada;RAG_Final_Resp;Evaluacion_Juez
¿Cuanto patrimonio tiene Elon Musk?;Mas de 400.000 millones de dólares;Según el texto, Elon Musk posee una fortuna de 421.200 millones de dólares, aunque en otro momento se menciona que su fortuna alcanza los 450.000 millones de dólares y también se menciona una cifra de 447.000 millones de dólares.;CORRECTO
¿Por qué fue demandado Elon Musk por la Fiscalía de Filadelfia en 2024?;Porque prometió dar 1 millón de dolares a votantes de las elecciones;Fue demandado por ofrecer sortear 1 millón de dólares a los votantes que se registren para votar en las elecciones del 5 de noviembre, lo que se considera interferencia electoral y una práctica comercial desleal.;CORRECTO
¿Cuántos bitcoins propuso repartir Donald Trump como renta básica universal?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Cuántas personas murieron en la dana de Valencia?;227 personas.;Según el texto, la cifra de fallecidos por la dana de Valencia se eleva a 227 personas, según el cómputo de dos juzgados. Sin embargo, en otra noticia se menciona que la cifra es de 224 personas fallecidas. La cifra más actualizada mencionada en el texto es 227 personas.;CORRECTO
¿Qué enfermedades se asocian al uranio de los proyectiles antitanque utilizados en la guerra en Ucrania?;Algunos estudios lo asocian con cáncer, problemas renales o efectos en el desarrollo infantil.;Según el texto, se asocian al uranio empobrecido enfermedades como el cáncer, problemas renales y efectos en el desarrollo infantil.;CORRECTO
¿Por qué el aumento de polacos y ucranianos que compran vivienda en España para huir de la guerra apenas recurre a la financiación de una hipoteca?;Porque tienen un poder adquisitivo elevado y un patrimonio alto que les permite no necesitar una hipoteca.;Según el texto, apenas uno de cada cuatro compradores de Europa del Este recurre a una hipoteca para comprar su vivienda porque su patrimonio es reseñable y pueden pagar al contado sin problemas.;CORRECTO
¿A quién designó Donald Trump para servir como secretario de Defensa en 2025?; Donald Trump designó a Pete Hegseth.;Pete Hegseth, presentador del programa Fox and Friends y antiguo militar.;CORRECTO
¿Cuántos soldados estadounidenses ha prometido enviar Donald Trump para formar una fuerza de paz en Ucrania?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué cantidad económica donó el Grupo Renault a los afectados por la DANA en Valencia y quién es el CEO de la compañía?;Donó un millón de euros y su CEO es Luca de Meo.;El Grupo Renault donó un millón de euros a los afectados por la DANA en Valencia. El CEO de la compañía es Luca de Meo.;CORRECTO
Durante su concierto en Valencia, ¿qué canción improvisó Bryan Adams y con qué propósito en relación a la DANA?;Improvisó una versión de 'Come Together' de The Beatles como símbolo de unión entre el artista y la comunidad afectada.;Durante su concierto en Valencia, Bryan Adams improvisó una versión de 'Come Together', de The Beatles, como símbolo de unión entre el artista y la comunidad afectada por la DANA.;CORRECTO
¿Qué cantidad económica donó el futbolista Kylian Mbappé a los afectados por la DANA de Valencia?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿A quien iba dirigido el mensaje en el tapiz floral de la Basílica durante la festividad de la patrona de Valencia tras el paso de la DANA?;a los voluntarios que acudieron a las zonas afectadas para ayudar de manera desinteresada tras la dana;El mensaje en el tapiz floral iba dirigido a los voluntarios que acudieron a las zonas afectadas para ayudar de manera desinteresada tras la dana.;CORRECTO
¿Con cuántas psicólogas especialistas se reforzó la atención del teléfono 016 en los municipios afectados por la DANA en Valencia?;Con cuatro psicólogas especialistas.;El teléfono 016 se ha reforzado con cuatro psicólogas especialistas en la zona afectada por la DANA en Valencia.;CORRECTO
Ante el retraso de SpaceX en la misión a la Luna y la actual guerra en la NASA por su jefatura, ¿a qué otra empresa mencionó el administrador interino Sean Duffy para abrir los contratos del módulo de aterrizaje?;Mencionó a Blue Origin, la empresa de Jeff Bezos.;Blue Origin, la compañía espacial de Jeff Bezos.;CORRECTO
¿Qué fallo provocó que la nave Hakuto-R de SpaceX se estrellara en su intento anterior en 2023?;Se estrelló porque calculó mal su descenso al pasar sobre un cráter, debido a datos imprecisos sobre la altitud y problemas de software.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué astronauta lidera la tripulación del módulo Blue Ghost en las nuevas misiones a la Luna de SpaceX?;No tengo información suficiente en mis archivos (el texto especifica que es una misión no tripulada).;No tengo información suficiente en mis archivos.;CORRECTO
¿Por qué la nueva vacuna de ARN para el tratamiento del cáncer se tiene que elaborar de manera personalizada para cada paciente?;Porque los neoantígenos son proteínas anómalas que resultan de mutaciones genéticas, y el perfil de mutaciones es distinto y único en el tumor de cada paciente.;La nueva vacuna de ARN para el tratamiento del cáncer se tiene que elaborar de manera personalizada para cada paciente porque cada tumor tiene un perfil de mutaciones genéticas distinto, lo que significa que los neoantígenos (proteínas anómalas resultantes de mutaciones genéticas) son diferentes en cada tumor y en cada paciente. Por lo tanto, la vacuna debe ser diseñada específicamente para cada paciente para que el sistema inmune pueda reconocer y atacar las células cancerosas de manera efectiva.;CORRECTO
¿Qué tipo de cáncer específico le fue diagnosticado al rey Carlos III?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Cuánto dinero aproximado le quedó limpio a Carlos Alcaraz por ganar su sexto Grand Slam tras pagar los impuestos federales y de Nueva York?;Le quedan aproximadamente 2,7 millones de dólares.;Según el texto, después de pagar los impuestos federales y de Nueva York, a Carlos Alcaraz le quedaron aproximadamente 2.7 millones de dólares.;CORRECTO
¿Qué golpe fundamental ha modificado Carlos Alcaraz en su juego para el Open de Australia??;Ha modificado su saque (el servicio).;El saque. Ha modificado el swing en el servicio, haciéndolo más fluido.;CORRECTO
Mientras el precio de la vivienda frenaba su subida en verano, ¿En que dos comunidades bajó el precio?;En Castilla-La Mancha (caída del 12,8%) y Asturias (caída del 3,1%).;Según el texto, las dos comunidades donde bajó el precio de la vivienda fueron Castilla-La Mancha, con una caída del 12,8%, y Asturias, con una caída del 3,1%.;CORRECTO
¿Qué medida propone Santiago Niño Becerra para evitar la constante revalorización del mercado y poner solución a los problemas de vivienda en España?;Propone crear un gran parque de vivienda pública destinado exclusivamente al alquiler.;Santiago Niño Becerra propone crear un parque de vivienda pública en alquiler para solucionar el problema de la revalorización y poner solución a los problemas de vivienda en España. También menciona que España necesitaría 650.000 viviendas de alquiler social y 1,5 millones de viviendas públicas de alquiler social para equipararse con la Unión Europea. Además, sugiere que la construcción de 200.000 viviendas públicas de alquiler en tres años podría hacer que los precios y alquileres bajen.;CORRECTO
¿A partir de que día se prohibe Tiktok en Estados Unidos?;A partir del domingo 19 de enero de 2025.;A partir del 19 de enero.;CORRECTO
¿Qué jugadores metieron gol para asegurar el 2-1 en el España-Inglaterra, dándole a España su cuarta Eurocopa?;Nico Williams y Mikel Oyarzabal.;Nico Williams y Oyarzabal.;CORRECTO
¿Qué dos hechos deportivos que sucedieron el mismo dia hicieron que L'Équipe titulara 'los nuevos reyes de España'?;Porque coincidió que en el mismo día los futbolistas de la selección se proclamaron campeones de Europa y el tenista Carlos Alcaraz retuvo su título en Wimbledon.;"El diario L'Équipe tituló ""los nuevos reyes de España"" debido a que Carlos Alcaraz retenía su título en Wimbledon y los futbolistas de la selección española se proclamaban campeones de Europa por cuarta vez, ambos eventos ocurriendo el mismo día.";CORRECTO
¿Cuántos autogoles o goles en propia puerta se le atribuyen a Harry Kane en la final de la Eurocopa 2024;Ninguno;No tengo información suficiente en mis archivos;INCORRECTO
Tras el partido en el que la España de las finales vuelve a ganar la Liga de Naciones, ¿qué entrenadora alemana fue destituida de su cargo?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
Tras el giro del precio del aceite de oliva, ¿a cuánto vende el supermercado Alcampo su garrafa de 5 litros de la marca Suroliva?;A 30,90 euros.;El supermercado Alcampo vende su garrafa de 5 litros de la marca Suroliva a 30,90 euros. Cada litro cuesta 6,18 euros.;CORRECTO
¿Cuáles son las razones por las que la garrafa de 5 litros de aceite Suroliva ha bajado a 30,90 euros?;debido a una combinación de factores que incluyen la necesidad de liberar stock, la anticipación de una buena cosecha que estabilizará la oferta y la competencia entre supermercados para atraer a los consumidores.;Las razones detrás de este cambio incluyen la necesidad de liberar stock, especialmente de aceites que fueron adquiridos a precios más altos, y la anticipación de una buena cosecha que estabilizará la oferta.;CORRECTO
¿Qué cadena de supermercados está regalando garrafas de aceite de oliva en Madrid para compensar los problemas de la sequía?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿De cuántos millones ha sido el impacto económico en Madrid por la hostelería gracias a los conciertos de Taylor Swift?;10 millones de euros.;10 millones de euros por cada concierto.;CORRECTO
Durante su enorme impacto económico en la gira musical, ¿por qué Taylor Swift decidió interpretar las reediciones denominadas 'Taylor's Version' de sus antiguos álbumes?;Para recuperar la propiedad intelectual de su discografía después de que su discográfica anterior le quitara los derechos de sus primeros 7 albumes.;No tengo información suficiente en mis archivos.;INCORRECTO
Para los conciertos de Taylor Swift en Madrid, ¿qué famoso jugador de baloncesto subió al escenario del Santiago Bernabéu como invitado sorpresa?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Cuánto dinero le cobró exactamente el presidente del Real Madrid a Taylor Swift por alquilar el estadio de fútbol?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
En relación con el calendario de los Juegos Olímpicos de París 2024, ¿en qué lugar exacto se celebrarán las competiciones de surf para aprovechar las olas?;En Teahupo’o, Tahití.;Las competiciones de surf en los Juegos Olímpicos de París 2024 se llevarán a cabo en Teahupo’o, Tahití.;CORRECTO
¿Qué material se utilizó específicamente para las palas de padel de los deportistas españoles en los Juegos de París 2024?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué decisión anunció Emmanuel Macron tras la victoria de Le Pen?;Disolver de la Asamblea Nacional y convocar elecciones legislativas;Emmanuel Macron anunció la disolución de la Asamblea Nacional y la convocatoria de elecciones legislativas anticipadas.;CORRECTO
En los primeros cien días de su mandato para combatir la crisis, ¿a qué cifra de inflación anual se enfrentó Javier Milei en Argentina al cierre del año 2023?;A una inflación anual del 211,4%.;211,4% de inflación anual.;CORRECTO
Según la situación económica que vive la Argentina de Javier Milei con su alta inflación, ¿por qué motivo exacto una jueza de Nueva York rechazó al país la extensión del plazo para pagar la deuda de YPF?;Porque consideró que el Gobierno argentino no había tomado medidas reales para afrontar el pago de la indemnización ni tenía un cronograma establecido para hacerlo.;La jueza de Nueva York rechazó el pedido argentino para extender el plazo de los pagos porque, a pesar de simpatizar con la magnitud de los desafíos que enfrenta Argentina, consideró que el Ejecutivo no ha tomado medidas para afrontar el pago y no tiene un cronograma establecido para hacerlo.;CORRECTO
Tras convocar elecciones legislativas en Francia, ¿qué cargo público le ofreció Emmanuel Macron a Marine Le Pen para evitar dimitir?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos;CORRECTO
¿Con qué porcentaje de votos ganó el partido de Los Republicanos las elecciones presidenciales de Francia en 2024?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿A qué jugador de la selección nacional de Francia despidió personalmente Javier Milei en Argentina tras el incidente con los cantos racistas?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Cuántos millones de dólares confesó haber robado Javier Milei en la estafa del llamado Criptogate en Argentina?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué actor protagoniza la película 'On the Waterfront' (1953) mencionada en el artículo de los Óscar?;Marlon Brando;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué sector profesional organizó las protestas conocidas como 'tractoradas' en distintos puntos de España?;Los agricultores.;El sector profesional que organizó las protestas conocidas como 'tractoradas' en distintos puntos de España es el sector agrario o primario, específicamente los agricultores y ganaderos.;CORRECTO
Según los reportes de RTVE de febrero de 2025, ¿con qué objetivo principal retomaron las tractoradas los agricultores en diferentes puntos de España?;Para pedir cambios en el sector y exigir derechos.;No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué mes del año 2024 organizaron cientos de agricultores tractoradas con la intención de bloquear España?;En el mes de febrero.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué tipo de vehículos utilizaron los agricultores en sus manifestaciones para intentar bloquear el país?;Tractores.;Los agricultores utilizaron tractores en sus manifestaciones para intentar bloquear el país.;CORRECTO
¿qué paso en España con cientos de agricultores el martes 6 de febrero de 2024?;El martes 6 de febrero de 2024, cientos de agricultores en España se movilizaron en protesta;El martes 6 de febrero, cientos de agricultores en España realizaron protestas improvisadas con tractores, colapsando carreteras y vías comarcales, para reclamar contra la crisis que atraviesa el campo por la sequía, el incremento de costes y los precios insuficientes, así como para denunciar la asfixia burocrática y medioambiental de la Política Agraria Común (PAC).;CORRECTO
¿Qué película ganó el premio a Mejor Película en la edición de los premios Oscar de 2025?;Anora.;La película que ganó el premio a Mejor Película en la edición de los premios Oscar de 2025 fue **Anora**.;CORRECTO
¿Qué cineasta ganó el premio Oscar a Mejor Director en 2025 por la película 'Anora'?;Sean Baker.;Sean Baker ganó el premio Oscar a Mejor Director en 2025 por la película 'Anora'.;CORRECTO
¿Qué actriz se llevó el Oscar a Mejor Actriz Protagonista por su papel en la película 'Anora'?;Mikey Madison.;Mikey Madison se llevó el Oscar a Mejor Actriz por su papel en la película 'Anora'.;CORRECTO
¿Qué actor logró el premio Oscar a Mejor Actor Protagonista en 2025 por su actuación en la película 'The Brutalist'?;Adrien Brody ganó el premio Óscar a Mejor Actor Protagonista en 2025.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Cuál fue la película que ganó el Oscar a Mejor Película Internacional en 2025?;I'm Still Here (Aún estoy aquí) de Brasil.;"La película que ganó el Oscar a Mejor Película Internacional en 2025 fue ""I'm Still Here"" (Aún estoy aquí), de Brasil.";CORRECTO
¿Qué partido político sufrió una derrota histórica en las elecciones del Reino Unido en julio de 2024?;El Partido Conservador.;No tengo información suficiente en mis archivos.;INCORRECTO
Tras los resultados de las elecciones en el Reino Unido de 2024, ¿qué partido político formó el nuevo Gobierno;El Partido Laborista (Labour Party).;El Partido Laborista formó el nuevo Gobierno en el Reino Unido tras las elecciones de 2024.;CORRECTO
¿En qué país europeo se celebraron elecciones a principios de julio de 2024 en las que los conservadores sufrieron una derrota histórica?;En el Reino Unido.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué política se convirtió en la primera mujer en encabezar el Ministerio de Economía en la historia del Reino Unido al formarse el nuevo Gobierno en 2024?;Rachel Reeves.;Rachel Reeves se convirtió en la primera mujer en encabezar el Ministerio de Economía en la historia del Reino Unido.;CORRECTO
¿Quién se convirtió en el nuevo primer ministro del Reino Unido tras la victoria del Partido Laborista en julio de 2024?;Keir Starmer.;Keir Starmer se convirtió en el nuevo primer ministro del Reino Unido tras la victoria del Partido Laborista.;CORRECTO
¿Qué nombre reciben las esperadas gafas de realidad mixta lanzadas por la empresa Apple?;Apple Vision Pro.;Las gafas de realidad mixta lanzadas por Apple se llaman Apple Vision Pro.;CORRECTO
¿Cuál fue el precio oficial de salida al mercado de las gafas Apple Vision Pro en dólares?;3.499 dólares.;El precio oficial de salida al mercado de las gafas Apple Vision Pro fue de 3.499 dólares.;CORRECTO
¿Qué caracteristica tiene el nuevo modelo de Apple Vision Pro para poder conectarlas a los Mac?;Una conexión física mediante cable.;El nuevo modelo de Apple Vision Pro tiene la característica de poder conectarse físicamente a un ordenador Mac mediante cable, lo que permite una conexión con latencia ultrabaja.;CORRECTO
¿En qué mes y año lanzó Apple al mercado estadounidense su primer dispositivo de gafas Vision Pro?;En febrero de 2024.;Febrero del año pasado.;CORRECTO
¿Qué empresa tecnológica es la creadora y fabricante de las populares gafas de realidad mixta llamadas Vision Pro?;Apple.;Apple es la creadora y fabricante de las gafas de realidad mixta llamadas Vision Pro.;CORRECTO
¿En qué fecha exacta se produjo el gran eclipse solar total que oscureció Norteamérica en 2024?;El 8 de abril de 2024.;No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué tres países del continente americano se pudo observar la fase de totalidad del eclipse solar de abril de 2024?;México, Estados Unidos y Canadá.;México, Canadá y Estados Unidos.;CORRECTO
Según las noticias de abril de 2024, ¿qué fenómeno astronómico oscureció parte de Norteamérica atrayendo el gran interés de la ciencia?;Un eclipse solar total.;Un eclipse solar.;CORRECTO
¿En qué región concreta del continente americano se pudo aprovechar científicamente y de forma óptima el gran eclipse solar del 8 de abril de 2024?;En América del Norte (Norteamérica).;Se pudo aprovechar científicamente y de forma óptima en algunas zonas de Estados Unidos, México y Canadá.;CORRECTO
¿En qué fecha exacta se lanzó sin tripulación la misión Artemis I de la NASA?;El 16 de noviembre de 2022.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Para qué mes y año está previsto ahora el lanzamiento de la misión Artemis II tras su aplazamiento?;Para abril de 2026.;Según la NOTICIA 1, el lanzamiento de Artemis II está previsto para abril de 2026, aunque la NASA tratará de adelantarlo a febrero.;CORRECTO
¿Qué modelo de trajes espaciales usarán los astronautas de la misión Artemis III en la superficie lunar?;Los trajes AxEMU.;Los astronautas de la misión Artemis III en la superficie lunar usarán trajes espaciales de última generación, como los AxEMU. Estos trajes son como “naves espaciales personales” que los protegerán de temperaturas extremas y les darán una gran movilidad para caminatas de hasta 8 horas.;CORRECTO
¿En qué estado de Estados Unidos se encuentra el Centro Marshall donde los ingenieros de la NASA han realizado simulaciones acústicas?;En Alabama.;No tengo información suficiente en mis archivos.;INCORRECTO
Según la NASA, ¿dónde caerá exactamente la nave Orión al regresar a la Tierra tras la misión Artemis II?;En el Pacífico oriental, cerca de la costa de la ciudad de San Diego.;Según la NASA, la nave Orión caerá en el Pacífico oriental, cerca de la costa de la ciudad estadounidense de San Diego.;CORRECTO
Según la consultora Drewry, ¿qué porcentaje exacto se elevó el flete de transporte marítimo entre Shanghái y Róterdam de enero a junio de 2024?;Un 233%.;No tengo información suficiente en mis archivos.;INCORRECTO
Debido al desvío de barcos por el Cabo de Buena Esperanza, ¿cuántas millas náuticas se incrementa el trayecto entre Shanghái y Génova?;4.878 millas.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Cuál fue la única de las 10 principales navieras mundiales que registró pérdidas durante el inicio de la crisis del Mar Rojo en 2024?;Maersk.;No tengo información suficiente en mis archivos.;INCORRECTO
De acuerdo con el Banco de España, ¿cuál fue el porcentaje de retroceso de las ventas minoristas en la zona euro durante el año 2023?;Un 1% (un punto porcentual).;No tengo información suficiente en mis archivos;INCORRECTO
¿Cuánto tiempo duró el atasco provocado por el megabuque Ever Given en el Canal de Suez en el año 2021?;Seis días.;El atasco provocado por el megabuque Ever Given en el Canal de Suez en el año 2021 duró seis días.;CORRECTO
¿Cuál fue el índice de precios al consumidor (IPC) exacto registrado en Argentina durante el mes de diciembre de 2023?;Un 25,5%.;No tengo información suficiente en mis archivos.;INCORRECTO
Según el INDEC, ¿cuál fue la cifra oficial de inflación en Argentina correspondiente al mes de diciembre de 2024?;Un 2,7%.;No tengo información suficiente en mis archivos.;INCORRECTO
¿A qué porcentaje de la población argentina alcanzó la pobreza durante el primer semestre de 2024?;Al 52,9%.;La pobreza en Argentina alcanzó al 52.9% de la población durante el primer semestre de 2024.;CORRECTO
Según la política económica de Javier Milei, ¿a qué porcentaje mensual se mantuvo el ritmo de devaluación del peso durante 2024 para frenar la inflación?;A un ritmo del 2% mensual.;"Según la noticia 2, el régimen cambiario que implicaba una devaluación mensual del 1% se conoce como ""crawling peg"". Sin embargo, no se menciona que este ritmo de devaluación se mantuviera durante 2024 específicamente para frenar la inflación. En la noticia 1, se menciona que la brecha cambiaria ha caído de más del 150% a menos del 10% durante el primer año de gestión de Milei, pero no se proporciona un porcentaje mensual específico de devaluación. 

La respuesta correcta sería: No tengo información suficiente en mis archivos.";INCORRECTO
¿A cuánto asciende la indemnización (en dólares) que la jueza Loretta Preska sentenció que Argentina debe pagar por la nacionalización de YPF?;16.099 millones de dólares.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Cuál es el nombre del gas inerte y del elemento radiactivo de vida corta que se producen como residuos en el proceso de fusión nuclear?;Helio y tritio.;Helio y tritio.;CORRECTO
Según los datos del Laboratorio Nacional Lawrence Livermore de 2022, ¿cuál fue la producción de energía obtenida mediante fusión nuclear medida en megajulios (MJ)?;Superior a 3,5 MJ.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué organismo o laboratorio logró por primera vez generar más energía mediante fusión nuclear de la necesaria para llevarla a cabo?;El Laboratorio Nacional Lawrence Livermore (LLNL).;No tengo información suficiente en mis archivos.;INCORRECTO
Según la Agencia Internacional de la Energía (AIE), ¿cuál será la producción eléctrica generada por reactores nucleares en el mundo durante 2025?;2.900 TWh.;Según la noticia 1, la producción de electricidad nuclear en el mundo va a llegar a un nivel récord en 2025, pero no se proporciona un valor específico. Sin embargo, en la noticia 2 se menciona que este año (no se especifica el año, pero se puede inferir que es el año en curso) la producción eléctrica nacida de los reactores nucleares alcanzará los 2.900 TWh, el nivel más alto hasta la fecha. No se proporciona información específica sobre la producción en 2025, pero se puede inferir que podría ser similar o superior a este valor. ;CORRECTO
¿Qué porcentaje del suministro mundial de uranio enriquecido procede de Kazajistán, según los datos de la AIE en 2025?;Ninguno, Kazajistán extrae el uranio (43%), pero el uranio enriquecido procede de Rusia (40%).;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué dos compuestos químicos detectó el telescopio James Webb en la atmósfera del exoplaneta K2-18 b?;Dimetil sulfuro (DMS) y dimetil disulfuro (DMDS).;El telescopio James Webb detectó en la atmósfera del exoplaneta K2-18 b los compuestos químicos dimetil sulfuro (DMS) y dimetil disulfuro (DMDS).;CORRECTO
¿Cómo se ha bautizado a la cadena masiva de al menos 20 galaxias descubierta por el telescopio James Webb?;Cosmic vine.;La cadena masiva de al menos 20 galaxias descubierta por el telescopio James Webb se ha bautizado como ‘Cosmic vine’.;CORRECTO
Según el tamaño de la Vía Láctea detallado en la noticia, ¿cuántas veces es más ancha la estructura 'Cosmic vine' en comparación a nuestra galaxia?;Unas 6,5 veces más ancha (la Vía Láctea tiene 100.000 años luz de ancho y Cosmic vine 650.000).;Según la noticia, la Vía Láctea tiene unos 100.000 años luz de ancho, mientras que la estructura 'Cosmic vine' tiene unos 650.000 años luz de ancho. Por lo tanto, la estructura 'Cosmic vine' es aproximadamente 6,5 veces más ancha que la Vía Láctea.;CORRECTO
¿Cuál era el diámetro del espejo primario del Telescopio Espacial Hubble en comparación con los 6.5 metros del James Webb?;2,4 metros.;No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué año lanzó el científico James Webb personalmente la primera sonda interplanetaria a Marte?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué observatorio espacial detectó por primera vez el potente resplandor de rayos gamma GRB 250314A en marzo?;El observatorio espacial SVOM (un proyecto conjunto entre Francia y China).;No tengo información suficiente en mis archivos.;INCORRECTO
¿Cuántos años después del Big Bang ocurrió aproximadamente la explosión de la supernova captada por el Telescopio Muy Grande (VLT)?;Aproximadamente 730 millones de años después del Big Bang.;730 millones de años después del Big Bang.;CORRECTO
En su discurso desde el balcón del Palacio Nacional, ¿qué porcentaje exacto de los votos afirmó Nayib Bukele haber logrado en las elecciones presidenciales?;Más del 85% de los votos.;Más del 85% de los votos.;CORRECTO
Antes de fundar el movimiento Nuevas Ideas, ¿de qué partido político provocó Nayib Bukele su propia expulsión en el año 2017?;Del Frente Farabundo Martí para la Liberación Nacional (FMLN).;El partido político del que Nayib Bukele provocó su propia expulsión en 2017 fue el Frente Farabundo Martí para la Liberación Nacional (FMLN).;CORRECTO
Según los datos de la Policía Nacional Civil (PNC), ¿cuántos días consecutivos sin asesinatos se registraban en El Salvador el día de la jornada electoral?;El décimo séptimo (17) día consecutivo sin asesinatos.;Según los datos de la Policía Nacional Civil (PNC), se registraban 17 días consecutivos sin asesinatos en El Salvador el día de la jornada electoral.;CORRECTO
¿Cuál es la capacidad máxima de reclusos que tiene el Centro de Confinamiento del Terrorismo creado en El Salvador?;Tiene capacidad para 40.000 pandilleros.;El edificio donde se aloja a los detenidos tiene capacidad para unos 40.000 presos.;CORRECTO
¿Qué presidente Iraní tildó de fraude electoral la reelección de Nayib Bukele?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
