Pregunta;Esperada;C3_BM25_Resp;C3_Eval;C4_VECT_Resp;C4_Eval
Según la política económica de Javier Milei, ¿a qué porcentaje mensual se mantuvo el ritmo de devaluación del peso durante 2024 para frenar la inflación?;A un ritmo del 2% mensual.; El ritmo de devaluación del peso durante 2024 para frenar la inflación fue de 2% mensual.;CORRECTO; El ritmo de devaluación mensual del peso durante 2024 para frenar la inflación, según la política económica de Javier Milei, fue del 1%.;INCORRECTO
¿A cuánto asciende la indemnización (en dólares) que la jueza Loretta Preska sentenció que Argentina debe pagar por la nacionalización de YPF?;16.099 millones de dólares.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Cuál es el nombre del gas inerte y del elemento radiactivo de vida corta que se producen como residuos en el proceso de fusión nuclear?;Helio y tritio.; El gas inerte que se produce como residuo en el proceso de fusión nuclear es el helio. El elemento radiactivo de vida corta que también se produce en este proceso es el tritio (hidrógeno-3).;CORRECTO; El gas inerte es el helio y el elemento radiactivo de vida corta es el tritio.;CORRECTO
Según los datos del Laboratorio Nacional Lawrence Livermore de 2022, ¿cuál fue la producción de energía obtenida mediante fusión nuclear medida en megajulios (MJ)?;Superior a 3,5 MJ.; La producción de energía obtenida mediante fusión nuclear medida en megajulios (MJ) fue de 3,5 MJ.;CORRECTO; La producción de energía obtenida mediante fusión nuclear medida en megajulios (MJ) fue de 1,3 MJ.;INCORRECTO
¿Qué organismo o laboratorio logró por primera vez generar más energía mediante fusión nuclear de la necesaria para llevarla a cabo?;El Laboratorio Nacional Lawrence Livermore (LLNL).; No se proporciona información en los textos sobre un organismo o laboratorio que haya logrado por primera vez generar más energía mediante fusión nuclear de la necesaria para llevarla a cabo.;INCORRECTO; No hay información en el texto proporcionado que indique que algún organismo o laboratorio haya logrado por primera vez generar más energía mediante fusión nuclear de la necesaria para llevarla a cabo.;INCORRECTO
Según la Agencia Internacional de la Energía (AIE), ¿cuál será la producción eléctrica generada por reactores nucleares en el mundo durante 2025?;2.900 TWh.; La producción eléctrica generada por reactores nucleares en el mundo durante 2025 será de 2.900 TWh.;CORRECTO; La producción eléctrica generada por reactores nucleares en el mundo durante 2025 alcanzará los 2.900 TWh, según la Agencia Internacional de la Energía (AIE).;CORRECTO
¿Qué porcentaje del suministro mundial de uranio enriquecido procede de Kazajistán, según los datos de la AIE en 2025?;Ninguno, Kazajistán extrae el uranio (43%), pero el uranio enriquecido procede de Rusia (40%).; No hay datos proporcionados en la noticia sobre el porcentaje del suministro mundial de uranio enriquecido que procede de Kazajistán en 2025.;INCORRECTO; No tengo información sobre el porcentaje específico del suministro mundial de uranio enriquecido que procede de Kazajistán en el año 2025. Los datos proporcionados en las noticias se refieren a la situación en 2023 y no incluyen proyecciones para el año 2025.;INCORRECTO
¿Qué dos compuestos químicos detectó el telescopio James Webb en la atmósfera del exoplaneta K2-18 b?;Dimetil sulfuro (DMS) y dimetil disulfuro (DMDS).; El telescopio James Webb detectó en la atmósfera del exoplaneta K2-18 b el dimetil sulfuro (DMS) y el dimetil disulfuro (DMDS).;CORRECTO; Los dos compuestos químicos que el telescopio James Webb detectó en la atmósfera del exoplaneta K2-18 b son sulfuro de dimetilo (DMS) y disulfuro de dimetilo (DMDS).;CORRECTO
¿Cómo se ha bautizado a la cadena masiva de al menos 20 galaxias descubierta por el telescopio James Webb?;Cosmic vine.; La cadena masiva de al menos 20 galaxias descubierta por el telescopio James Webb se ha bautizado como ‘Cosmic vine’.;CORRECTO; La cadena masiva de al menos 20 galaxias descubierta por el telescopio James Webb se ha bautizado como ‘Cosmic vine’.;CORRECTO
Según el tamaño de la Vía Láctea detallado en la noticia, ¿cuántas veces es más ancha la estructura 'Cosmic vine' en comparación a nuestra galaxia?;Unas 6,5 veces más ancha (la Vía Láctea tiene 100.000 años luz de ancho y Cosmic vine 650.000).; No tengo información suficiente en mis archivos.;INCORRECTO; La estructura 'Cosmic vine' es más ancha 6 veces más que nuestra galaxia, la Vía Láctea.;INCORRECTO
¿Cuál era el diámetro del espejo primario del Telescopio Espacial Hubble en comparación con los 6.5 metros del James Webb?;2,4 metros.; El diámetro del espejo primario del Telescopio Espacial Hubble es de 2.4 metros.;CORRECTO; El espejo primario del Telescopio Espacial Hubble tenía un diámetro de 2.4 metros, mientras que el James Webb tiene un espejo primario de 6.5 metros.;CORRECTO
¿En qué año lanzó el científico James Webb personalmente la primera sonda interplanetaria a Marte?;No tengo información suficiente en mis archivos.; No hay información en las noticias proporcionadas sobre el lanzamiento de una sonda interplanetaria a Marte por parte del científico James Webb.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
¿Qué observatorio espacial detectó por primera vez el potente resplandor de rayos gamma GRB 250314A en marzo?;El observatorio espacial SVOM (un proyecto conjunto entre Francia y China).; No hay información en los textos proporcionados sobre un observatorio espacial que detectara por primera vez el potente resplandor de rayos gamma GRB 250314A en marzo.;INCORRECTO; El telescopio espacial Fermi detectó por primera vez el potente resplandor de rayos gamma GRB 250314A en marzo.;INCORRECTO
¿Cuántos años después del Big Bang ocurrió aproximadamente la explosión de la supernova captada por el Telescopio Muy Grande (VLT)?;Aproximadamente 730 millones de años después del Big Bang.; La explosión de la supernova captada por el Telescopio Muy Grande (VLT) ocurrió aproximadamente 100 millones de años después del Big Bang.;INCORRECTO; La explosión de la supernova ocurrió aproximadamente 730 millones de años después del Big Bang.;CORRECTO
En su discurso desde el balcón del Palacio Nacional, ¿qué porcentaje exacto de los votos afirmó Nayib Bukele haber logrado en las elecciones presidenciales?;Más del 85% de los votos.; No tengo información suficiente en mis archivos.;INCORRECTO; Nayib Bukele afirmó haber logrado más del 85% de los votos en las elecciones presidenciales.;CORRECTO
Antes de fundar el movimiento Nuevas Ideas, ¿de qué partido político provocó Nayib Bukele su propia expulsión en el año 2017?;Del Frente Farabundo Martí para la Liberación Nacional (FMLN).; Nayib Bukele fue expulsado del partido político Nuevas Ideas en el año 2017.;INCORRECTO; El partido político del que Nayib Bukele se expulsó en el año 2017 es el Frente Farabundo Martí para la Liberación Nacional (FMLN).;CORRECTO
Según los datos de la Policía Nacional Civil (PNC), ¿cuántos días consecutivos sin asesinatos se registraban en El Salvador el día de la jornada electoral?;El décimo séptimo (17) día consecutivo sin asesinatos.; Según los datos proporcionados en el artículo, el día de la jornada electoral en El Salvador, el 28 de febrero de 2024, se registraban 10 días consecutivos sin asesinatos.;INCORRECTO; 10 días consecutivos sin asesinatos;INCORRECTO
¿Cuál es la capacidad máxima de reclusos que tiene el Centro de Confinamiento del Terrorismo creado en El Salvador?;Tiene capacidad para 40.000 pandilleros.; No tengo información suficiente en mis archivos.;INCORRECTO; La capacidad máxima de reclusos que tiene el Centro de Confinamiento del Terrorismo (CECOT) es para unos 40.000 presos.;CORRECTO
¿Qué presidente Iraní tildó de fraude electoral la reelección de Nayib Bukele?;No tengo información suficiente en mis archivos.; El presidente Iraní que tildó de fraude electoral la reelección de Nayib Bukele fue Mahmud Ahmadinejad.;INCORRECTO; No hay información suficiente en mis archivos.;CORRECTO
Considerando las declaraciones de Katrin Deschauer, ¿reconoció Alemania oficialmente los resultados finales de las elecciones salvadoreñas el mismo lunes?;No, Alemania fue cauta porque el conteo oficial del Tribunal Supremo Electoral aún no había terminado.; No, Alemania no reconoció oficialmente los resultados finales de las elecciones salvadoreñas el mismo lunes.;CORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Para combatir qué dos enfermedades se aprobó en Reino Unido y Estados Unidos la primera terapia génica basada en el método CRISPR/Cas9?;La anemia de células falciformes y la beta talasemia.; Para combatir la anemia de células falciformes y la beta talasemia se aprobó en Reino Unido y Estados Unidos la primera terapia génica basada en el método CRISPR/Cas9.;CORRECTO; Para combatir la anemia de células falciformes y la beta talasemia se aprobó en Reino Unido y Estados Unidos la primera terapia génica basada en el método CRISPR/Cas9.;CORRECTO
¿De qué parte específica del cuerpo humano se extraen habitualmente las células madre mediante una punción en la cresta ilíaca?;De la médula ósea (en la cadera).; No hay información en el texto proporcionado sobre la extracción de células madre mediante una punción en la cresta ilíaca.;INCORRECTO; Las células madre se extraen habitualmente de la médula ósea mediante una punción en la cresta ilíaca.;CORRECTO
¿Qué dos científicos recibieron el Premio Nobel por sus descubrimientos en torno a la reprogramación celular?;Yamanaka y Guston.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
Según las recomendaciones dermatológicas citadas en la noticia, ¿qué factor de protección solar mínimo (SPF) deben utilizar las personas de piel clara?;Factor 50 SPF.; Protector solar '360º Mineral Tolerance Fluid SPF 22', de Heliocare (rebajado a 22 euros);INCORRECTO; Según las recomendaciones dermatológicas citadas en la noticia, las personas de piel clara deben utilizar un factor de protección solar mínimo (SPF) de 30.;INCORRECTO
Si a un paciente le clasifican un carcinoma utilizando el sistema TNM y se centran en evaluar la letra 'M', ¿qué están buscando médicamente?;La existencia o no de metástasis.;" M está por ""Metastasis"".";CORRECTO; La letra 'M' en el sistema TNM (Tumor, Nodo, Metástasis) se refiere a la presencia o ausencia de metástasis. Cuando los médicos se centran en evaluar la letra 'M', están buscando si el cáncer ha metastatizado, es decir, si las células cancerosas se han diseminado desde el sitio primario a otras partes del cuerpo. Esto es crucial para determinar el estadio del cáncer, que influye en el pronóstico y en la elección del tratamiento.;CORRECTO
Según el descubrimiento de dos tipos de células madre responsables de formar las raíces dentales, ¿qué tipo de piezas bucales podrían hacer crecer los nuevos tratamientos?;Dientes naturales.; No tengo información suficiente en mis archivos.;INCORRECTO; Los nuevos tratamientos podrían hacer crecer dientes naturales.;CORRECTO
¿Cuántos metros de diámetro tendrá el túnel submarino proyectado para conectar Génova Oeste con Génova Este?;16 metros de diámetro.; No tengo información suficiente en mis archivos.;INCORRECTO; El túnel submarino proyectado para conectar Génova Oeste con Génova Este tendrá 16 metros de diámetro.;CORRECTO
¿En qué año está previsto que finalice la construcción del gran túnel submarino de Génova financiado por Autostrade per l'Italia?;En el año 2029.;2029;CORRECTO;2029;CORRECTO
¿Qué ciudad marroquí y qué ciudad española conectaría el tren que circulará por el futuro túnel submarino del Estrecho de Gibraltar?;Casablanca y Madrid.; Tánger (Marruecos) y Punta Paloma (España).;INCORRECTO; La ciudad marroquí que conectaría el tren que circulará por el futuro túnel submarino del Estrecho de Gibraltar es Casablanca, y la ciudad española es Madrid.;CORRECTO
¿Cómo se llama la fragata que Alemania envió a Copenhague para proteger la doble cumbre de la UE frente a la amenaza de drones?;La fragata Hamburg.; La fragata que Alemania envió a Copenhague para proteger la doble cumbre de la UE frente a la amenaza de drones se llama Hamburg.;CORRECTO; La fragata que Alemania envió a Copenhague para proteger la doble cumbre de la UE frente a la amenaza de drones se llama Hamburg.;CORRECTO
Al ser avistados submarinos rusos en el Mar Báltico, ¿por qué los barcos de la defensa danesa justifican seguirlos como una práctica 'normal'?;Se hace con fines disuasorios y de vigilancia porque las embarcaciones rusas no pertenecen a la OTAN.; No tengo información suficiente en mis archivos.;INCORRECTO; Los barcos de la defensa danesa no justifican seguir submarinos rusos en el Mar Báltico como una práctica 'normal'. La presencia de submarinos rusos en el Mar Báltico es vista con preocupación por parte de las naciones circundantes, especialmente tras los incidentes recientes como el daño a los cables submarinos y la interferencia con la infraestructura crítica. La defensa danesa, al igual que otras naciones, probablemente monitorea la actividad de los submarinos rusos para evaluar posibles amenazas y mantener la seguridad nacional. Sin embargo, la justificación de seguir a estos submarinos no sería considerada 'normal' por las autoridades de seguridad y defensa de las naciones involucradas, ya que podría interpretarse como una acción provocativa o como una preparación para un conflicto armado.;INCORRECTO
¿Qué carguero ruso dañó presuntamente dos cables submarinos de telecomunicaciones en el Báltico en noviembre de 2024?;No tengo información suficiente en mis archivos.; El petrolero Eagle S, que navega bajo pabellón de las Islas Cook, fue llevado frente al puerto finlandés de Porkkala, a 30 kilómetros de Helsinki.;INCORRECTO; El barco ruso que dañó presuntamente dos cables submarinos de telecomunicaciones en el Báltico en noviembre de 2024 es el Vezhen.;INCORRECTO
En la cumbre COP29, ¿qué cantidad de dinero se aprobó movilizar para el año 2035 destinada a países en desarrollo?;300.000 millones de dólares.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
Según las estimaciones de los expertos mencionadas en la cumbre de Brasil, ¿a qué cifra ascienden las verdaderas necesidades financieras climáticas anuales exigidas para 2035?;A 1,3 billones de dólares.; No tengo información sobre las estimaciones de las necesidades financieras climáticas anuales exigidas para 2035.;INCORRECTO; Las estimaciones de los expertos mencionadas en la cumbre de Brasil ascienden las verdaderas necesidades financieras climáticas anuales a 100.000 millones de dólares para 2035.;INCORRECTO
¿Cómo se llama el mecanismo de la Unión Europea que impondrá un cargo a las importaciones de bienes con altas emisiones de carbono a partir del 1 de enero de 2016?;Mecanismo de Ajuste en Frontera por Carbono.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
Teniendo en cuenta la postura de China en la cumbre, ¿se mostró este país abierto a debatir el acortamiento de los plazos para presentar sus planes de acción climática (NDC)?;No, China se ha mostrado firme en que no debería haber debate sobre estos planes.; No tengo información suficiente en mis archivos.;INCORRECTO; No, según la información proporcionada, China no se mostró abierto a debatir el acortamiento de los plazos para presentar sus planes de acción climática (NDC) en la cumbre. Aunque China anunció por primera vez que tiene decidido disminuir sus emisiones de carbono entre un 7% y un 10% para 2035, esto fue ampliamente criticado como demasiado débil. Además, aunque China ha prometido reducir sus emisiones, su promesa de reducir emisiones entre un 7% y un 10% para 2035 fue considerada insuficiente por muchos científicos y observadores. Por lo tanto, aunque China ha tomado medidas para reducir sus emisiones, no se ha mostrado abierto a debatir la posibilidad de acortar los plazos para presentar sus planes de acción climática.;CORRECTO
¿En qué ciudad de la Amazonia brasileña se celebró la conferencia de la ONU sobre el clima conocida como COP30?;En la ciudad de Belém.; La ciudad de la Amazonia brasileña donde se celebró la conferencia de la ONU sobre el clima conocida como COP30 es Belém.;CORRECTO; Belém do Pará.;CORRECTO
¿Qué nuevos compromisos de financiación aportó la delegación de Estados Unidos durante su intervención en la cumbre de Belém?;Ninguno, ya que Estados Unidos, a pesar de ser el mayor emisor histórico, estuvo ausente en la cumbre de Belém.; No tengo información suficiente en mis archivos.;INCORRECTO; La delegación de Estados Unidos no aportó nuevos compromisos de financiación durante su intervención en la cumbre de Belém.;INCORRECTO
Según un nuevo análisis publicado por la Organización Mundial de la Salud (OMS), ¿cuál es la relación probada entre las vacunas y el autismo?;Se confirma que no existe ninguna relación entre las vacunas y el autismo.; No hay relación probada entre las vacunas y el autismo, según el nuevo análisis publicado por la OMS.;CORRECTO; No hay relación entre las vacunas y el autismo, según un nuevo análisis publicado por la OMS.;CORRECTO
¿Qué compañía farmacéutica japonesa desarrolló la primera vacuna contra la viruela del mono aprobada por la OMS para niños?;KM Biologics.; La farmacéutica japonesa KM Biologics desarrolló la primera vacuna contra la viruela del mono aprobada por la OMS para niños.;CORRECTO; La compañía farmacéutica japonesa que desarrolló la primera vacuna contra la viruela del mono aprobada por la OMS para niños es KM Biologics.;CORRECTO
¿A partir de qué edad puede utilizarse la vacuna contra la viruela del mono fabricada por KM Biologics?;A partir del primer año de edad.; La vacuna contra la viruela del mono fabricada por KM Biologics se puede usar a partir del primer año de edad.;CORRECTO; La vacuna contra la viruela del mono desarrollada por KM Biologics puede utilizarse a partir del primer año de edad.;CORRECTO
¿Cómo se llama la alianza que facilita las inmunizaciones en países en desarrollo y que precisa la aprobación de la OMS para llevar la vacuna a la República Democrática del Congo?;GAVI.; No tengo información suficiente en mis archivos.;INCORRECTO; La alianza que facilita las inmunizaciones en países en desarrollo y que precisa la aprobación de la Organización Mundial de la Salud (OMS) para llevar la vacuna a la República Democrática del Congo se llama Gavi, la Alianza de Vacunas.;CORRECTO
¿Cuántos pacientes espera tener implantados el Instituto Chino de Investigación Cerebral (CIBR) con el chip Beinao No. 1 para finales de año?;Trece personas.; Tres pacientes.;INCORRECTO; El Instituto Chino de Investigación Cerebral (CIBR) junto a la empresa NeuCyber NeuroTech esperan tener implantados el chip Beinao No. 1 en trece personas para finales de este año.;CORRECTO
¿Cuál es la empresa tecnológica que ha desarrollado el chip visual Prima, de dos milímetros cuadrados, plantando cara a Neuralink?;Science Corporation.; No tengo información suficiente en mis archivos.;INCORRECTO; La empresa tecnológica que ha desarrollado el chip visual Prima es Science Corporation.;CORRECTO
Según la historia estratégica detallada en el artículo, ¿en qué año fundó Elon Musk la compañía Neuralink?;En 2026.; Elon Musk fundó la compañía Neuralink en el año 2016.;INCORRECTO; Elon Musk fundó la compañía Neuralink en el año 2026.;CORRECTO
¿Cuál es el peso exacto del implante biotecnológico desarrollado por Neuralink?;Cuatro gramos.; No tengo información suficiente en mis archivos.;INCORRECTO; El peso exacto del implante biotecnológico desarrollado por Neuralink no se proporciona en los textos proporcionados.;INCORRECTO
¿Cuáles son las previsiones de facturación y número de pacientes implantados por curso que Neuralink espera alcanzar en el año 2031?;1.000 millones de facturación y 20.000 pacientes.; La pregunta planteada no se encuentra en el texto de referencia proporcionado, ya que el texto solo menciona las previsiones de facturación y número de pacientes implantados por curso para el año 2024, no para el año 2031. Según el texto, Neuralink espera alcanzar los 100 millones de euros en facturación en 2025, y el número de pacientes implantados por curso es de 10.;INCORRECTO; En el año 2031, Neuralink espera alcanzar una facturación de 1.000 millones de dólares y implantes en 20.000 pacientes por curso.;CORRECTO
¿Cómo se llama el primer paciente humano que recibió el implante cerebral de Neuralink y que quedó tetrapléjico en 2016?;Noland Arbaugh.; No tengo información suficiente en mis archivos.;INCORRECTO; Noland Arbaugh;CORRECTO
¿Qué significan las siglas del ensayo PRIME en el que participa el primer paciente de Neuralink?;Precise Robotically Implanted Brain-Computer Interface.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué hospital exacto de la ciudad de Nueva York se le implantó el chip al paciente Noland Arbaugh?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No hay información en el texto proporcionado sobre el hospital específico en el que se le implantó el chip al paciente Noland Arbaugh en Nueva York.;CORRECTO
Según el artículo sobre el desafío de Colombia frente a España, ¿a finales de qué siglo se hundió el navío San José?;A finales del siglo XVII.; El navío San José se hundió a finales del siglo XVII.;CORRECTO; El navío San José se hundió a finales del siglo XVII.;CORRECTO
Según la historia del buque, ¿qué día exacto fue hundido el galeón San José por una flota de corsarios ingleses?;El 8 de junio de 1708.; No tengo información suficiente en mis archivos.;INCORRECTO; 8 de junio de 1708;CORRECTO
¿Cuántas monedas de oro y plata recogidas en Portobelo (Panamá) llevaba aproximadamente el galeón en su interior?;Cerca de 11 millones de monedas de ocho escudos en oro y plata.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué palabra concreta figura inscrita en el cañón de artillería extraído del galeón San José?;"La palabra ""Sevilla""."; Sevilla;CORRECTO;" Señoridad, en el cañón de artillería extraído del galeón San José figura inscrita la palabra ""Sevilla"".";CORRECTO
¿Qué dos personas elaboraron una escultura de chocolate del galeón San José sostenido por un pulpo gigante?;El chef pastelero Juan Arellano y Andrea Torres.; Los dos personas que elaboraron una escultura de chocolate del galeón San José sostenido por un pulpo gigante son el chef pastelero Juan Arellano y Andrea Torres.;CORRECTO; Los dos personas que elaboraron una escultura de chocolate del galeón San José sostenido por un pulpo gigante son Juan Arellano y Andrea Torres.;CORRECTO
¿Cuál era el nombre del capitán corsario inglés que dio la orden de hundir personalmente el barco en 1708?;No tengo información suficiente en mis archivos.; La pregunta no se refiere a ninguna noticia proporcionada en el texto de referencia, por lo que no se puede extraer la información solicitada de las noticias dadas.;CORRECTO; El nombre del capitán corsario inglés que dio la orden de hundir personalmente el barco en 1708 era Henry Morgan.;INCORRECTO
¿Por qué motivo acudirá una delegación del pueblo Qhara Qhara como testigo a las operaciones submarinas en el galeón San José?;Para asegurarse de que el gobierno colombiano no se apropie bienes de los pueblos originarios.;"La información proporcionada no menciona específicamente por qué una delegación del pueblo Qhara Qhara acudiría como testigo a las operaciones submarinas en el galeón San José. Sin embargo, basándonos en el contexto y las referencias dadas en el documento, podemos inferir que la presencia de la delegación Qhara Qhara podría estar relacionada con el interés de la comunidad en preservar el patrimonio cultural y en asegurar que las operaciones se lleven a cabo de manera respetuosa con los derechos de los pueblos indígenas y con las normativas internacionales que protegen los bienes culturales sumergidos.

El galeón San José es un yacimiento arqueológico sumergido que contiene restos de un barco español del siglo XVIII y, según la Convención de la UNESCO de 2001 sobre la protección del patrimonio cultural subacuático, los bienes culturales sumergidos no deben ser explotados comercialmente. La presencia de la delegación Qhara Qh";INCORRECTO; La delegación del pueblo Qhara Qhara, como representantes de las naciones originarias bolivianas, acudirá como testigo a las operaciones submarinas en el galeón San José para protestar contra la explotación comercial de los yacimientos arqueológicos y para defender el derecho internacional de la cultura. Según el texto, estas naciones están alarmadas por la postura del Gobierno de Colombia de permitir la explotación de los restos del San José por empresas cazatesoros, lo que consideran un acto de colonialismo. Además, alertan sobre la pasividad del Gobierno de España y la posible aplicación de la ley colombiana que favorece la asociación del Estado con las empresas cazatesoros a otros yacimientos de galeones en aguas colombianas. La delegación Qhara Qhara busca proteger el patrimonio de los galeones hispanos hundidos y presionar por una política que respete el derecho internacional de la cultura y evite la destrucción de los yacimientos arqueológicos.;INCORRECTO
¿A cuántos campos de fútbol equivale la superficie del gigantesco vertedero de Ghazipur situado en la India?;A 35 campos de fútbol.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Cuál fue la concentración media exacta de microplásticos (MP) por litro detectada en el agua embotellada de las cinco marcas españolas analizadas?;0,7 MP por litro.; La concentración media exacta de microplásticos (MP) por litro detectada en el agua embotellada de las cinco marcas españolas analizadas fue de 1.70 partículas de microplásticos por litro (1.70 MP/L).;INCORRECTO; La concentración media exacta de microplásticos (MP) por litro detectada en el agua embotellada de las cinco marcas españolas analizadas fue de 1.70 partículas de microplásticos por litro (PANP/L).;INCORRECTO
¿En qué revista científica se publicaron los resultados de la segunda parte del estudio centrada en el agua embotellada?;En la revista Scientific Reports.;" La respuesta a la pregunta es:

La segunda parte del estudio sobre el agua embotellada fue publicado en la revista científica ""Scientific Reports"".";CORRECTO;" La segunda parte del estudio se publicó en la revista científica ""Journal of Hazardous Materials"".";INCORRECTO
Según las imágenes químicas del estudio peneano, ¿cuáles fueron los dos tipos de microplásticos más prevalentes encontrados en las muestras?;El tereftalato de polietileno (PET) y el polipropileno (PP).; Los dos tipos de microplásticos más prevalentes encontrados en las muestras según el estudio peneano fueron las poliolefinas.;INCORRECTO; Los dos tipos de microplásticos más prevalentes encontrados en las muestras fueron el tereftalato de polietileno (PET) y el polipropileno (PP).;CORRECTO
Según el estudio publicado en mayo por el toxicólogo Matthew J. Campen, ¿cuántos testículos de perro se analizaron para compararlos con los 23 de humanos?;47 testículos de perro.; No tengo información suficiente en mis archivos.;INCORRECTO; Se analizaron 47 testículos de perro para compararlos con los 23 de humanos.;CORRECTO
¿Qué marca específica de agua embotellada fue la que dio un resultado más alto en toxinas en la investigación del toxicólogo Campen?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
¿En qué año exacto ha aprobado California la ley que prohibirá enviar chatarra electrónica de segunda mano a países de África?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No, la información no está en el texto.;CORRECTO
